Street code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific Name ,DBH,Notes
S04,16/05/2024,9:14,9:34,13,3,3,Thursday,HOSP,Passer domesticus,Vocalize ,9:20,Silver maple,Acer saccharinum,80,
S04,16/05/2024,9:14,9:34,13,3,3,Thursday,EUST,Sturnus vulgaris,Carry food,9:25,Silver maple,Acer saccharinum,80,
S04,16/05/2024,9:14,9:34,13,3,3,Thursday,HOSP,Passer domesticus,Vocalize ,9:26,Silver maple,Acer saccharinum,80,
S04,16/05/2024,9:14,9:34,13,3,3,Thursday,HOSP,Passer domesticus,Perch,9:28,Silver maple,Acer saccharinum,80,
S04,16/05/2024,9:14,9:34,13,3,3,Thursday,AMRO,Turdus migratorius,Vocalize ,9:30,Silver maple,Acer saccharinum,80,
S04,16/05/2024,9:14,9:34,13,3,2,Thursday,EUST,Sturnus vulgaris,Feed young,9:32,Silver maple,Acer saccharinum,80,
S04,16/05/2024,9:14,9:34,13,3,2,Thursday,HOSP,Passer domesticus,Perch,9:34,Silver maple,Acer saccharinum,80,
S13,17/05/2024,6:59,7:19,16,4,2,Friday,AMRO,Turdus migratorius,Vocalize ,7:00,Norway maple ,Acer platanoides,60,
S13,17/05/2024,6:59,7:19,16,4,2,Friday,AMRO ,Turdus migratorius,Gape ,7:05,Ground ,NA ,NA,
S13,17/05/2024,6:59,7:19,16,4,2,Friday,EUST,Sturnus vulgaris,Gape ,7:10,Ground ,NA ,NA,
S13,17/05/2024,6:59,7:19,16,4,2,Friday,HOSP,Passer domesticus,Glean,7:15,Common Hackberry,Celtis occidentalis,5,
S13,17/05/2024,6:59,7:19,16,4,2,Friday,NOCA,Cardinalis cardinalis,Perch,7:15,Common Hackberry,Celtis occidentalis,5,
S13,17/05/2024,6:59,7:19,16,4,2,Friday,EUST,Sturnus vulgaris,Gape ,7:19,Ground ,NA ,NA,
S06,17/05/2024,7:25,7:45,16,4,2,Friday,BCCH,Poecile atricapillus,Perch,7:40,Norway maple ,Acer platanoides,50,
S06,17/05/2024,7:25,7:45,16,4,2,Friday,AMRO,Turdus migratorius,Perch,7:40,European linden,Tilia × europaea,50,
S08,17/05/2024,8:14,8:34,16,4,2,Friday,LEFL,Empidonax minimus,Sally,8:24,Norway maple ,Acer platanoides,60,
S08,17/05/2024,8:14,8:34,16,4,2,Friday,HOSP,Passer domesticus,Peck ,8:26,Ground ,NA ,NA,
S08,17/05/2024,8:14,8:34,16,4,2,Friday,HOSP,Passer domesticus,Glean ,8:28,Norway maple ,Acer platanoides,60,
S08,17/05/2024,8:14,8:34,16,4,2,Friday,AMCR,Corvus brachyrhynchos,Attack squirrel ,8:30,Norway maple ,Acer platanoides,60,
S08,17/05/2024,8:14,8:34,16,4,2,Friday,HOSP,Passer domesticus,Perch,8:33,Norway maple ,Acer platanoides,60,
S03,17/05/2024,9:12,9:32,16,4,2,Friday,,,,,,,,"Busy street, daycare dropoff time"
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,AMRO,Turdus migratorius,Gape,7:10,Ground,NA,NA,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,REVI,Vireo olivaceus,Vocalize,7:12,Silver maple,Acer saccharinum,80,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Bill wipe,7:15,Silver maple,Acer saccharinum,80,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Bill wipe,7:15,Silver maple,Acer saccharinum,80,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Feed young,7:17,Silver maple,Acer saccharinum,80,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Feed young,7:17,Silver maple,Acer saccharinum,80,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Gape,7:19,Ground,NA,NA,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,NOCA,Cardinalis cardinalis,Vocalize,7:20,Silver maple,Acer saccharinum,   ,
S07,22/05/2024,7:04,7:24,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Feed young,7:22,Silver maple,Acer saccharinum,80,
S12,22/05/2024,7:47,8:07,19,1,1,Wednesday ,WBNU,Sita carolinensis,Peck,7:55,Silver maple,Acer saccharinum,80,
S12,22/05/2024,7:47,8:07,19,1,1,Wednesday ,EUST,Sturnus vulgaris,Bill wipe,7:57,Silver maple,Acer saccharinum,80,
S12,22/05/2024,7:47,8:07,19,1,1,Wednesday ,AMRO,Turdus migratorius,Gape,8:00,Silver maple,Acer saccharinum,80,
S12,22/05/2024,7:47,8:07,19,1,1,Wednesday ,AMRO,Turdus migratorius,Gape,8:05,Silver maple,Acer saccharinum,80,
S15,22/05/2024,8:35,8:55,19,1,1,Wednesday ,,,,,,,,"Only 1 street tree, construction & street cleaning passing by, YEWA and AMRE heard across the street, lots ot CHSW above, Benny Crescent may be better"
S16,24/05/2024,6:44,7:04,16,2,4,Friday,AMGO,Spinus tristis,Vocalize,6:44,Norway maple,Acer platanoides,35,"Windy, saw BEKI flying around"
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:27,Norway maple,Acer platanoides,25,
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:27,Norway maple,Acer platanoides,20,
