Yard Code,Species Code,Species Latin,Sampled area (m) ,Sampled Area (ha),DBH(cm) ,DBH Round,Presence of hedge ,basal,Index,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,6.8,7,yes,0.00363169,286,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,29.5,30,yes,0.068349435,287,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,7.6,8,yes,0.00453647,288,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,14.8,15,yes,0.017203402,289,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ULXXFR,Ulmus 'Frontier',700,0.07,44.1,44,yes,0.152745377,290,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,144,144,yes,1.62860544,291,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPA,Acer Palmatum,700,0.07,7.5,8,yes,0.004417875,316,,,,,,,,,,,,,,,,,,,,,,,,
Y46,JUVI,Juniperus Virginiana,700,0.07,4.5,5,yes,0.001590435,317,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ABBA,Abies Balsamea,700,0.07,5.2,5,yes,0.002123722,318,,,,,,,,,,,,,,,,,,,,,,,,
Y47,MADO,Malus Domestica,180,0.018,27.3,27,yes,0.058535077,319,,,,,,,,,,,,,,,,,,,,,,,,
Y47,MADO,Malus Domestica,180,0.018,39.3,39,yes,0.121304245,320,,,,,,,,,,,,,,,,,,,,,,,,
Y48,ACNE,Acer Negundo,170,0.017,41.6,42,no,0.135918182,332,,,,,,,,,,,,,,,,,,,,,,,,
Y48,ACNE,Acer Negundo,170,0.017,35.8,36,no,0.100660006,333,,,,,,,,,,,,,,,,,,,,,,,,
Y48,ACNE,Acer Negundo,170,0.017,41.7,42,no,0.136572421,334,,,,,,,,,,,,,,,,,,,,,,,,
Y48,TIAM,Tilia Americana,170,0.017,14.6,15,no,0.016741586,335,,,,,,,,,,,,,,,,,,,,,,,,
Y48,SYVU,Syringa Vulgaris,170,0.017,45.2,45,no,0.160460362,336,,,,,,,,,,,,,,,,,,,,,,,,
Y48,SYVU,Syringa Vulgaris,170,0.017,33.9,34,no,0.090258953,337,,,,,,,,,,,,,,,,,,,,,,,,
Y48,SYVU,Syringa Vulgaris,170,0.017,6.7,7,no,0.003525661,338,,,,,,,,,,,,,,,,,,,,,,,,
Y49,SYVU,Syringa Vulgaris,70,0.007,65.8,66,no,0.340049926,339,,,,,,,,,,,,,,,,,,,,,,,,
Y50,CACO,Carya Cordiformis,180,0.018,103.5,104,no,0.841340115,340,,,,,,,,,,,,,,,,,,,,,,,,
Y50,CACO,Carya Cordiformis,180,0.018,66.9,67,no,0.351514409,341,,,,,,,,,,,,,,,,,,,,,,,,
Y50,THOC,Thuja Occidentalis,180,0.018,13.9,14,no,0.015174713,342,,,,,,,,,,,,,,,,,,,,,,,,
Y50,THOC,Thuja Occidentalis,180,0.018,7.3,7,no,0.004185397,343,,,,,,,,,,,,,,,,,,,,,,,,
Y50,HYPA,Hydrangea Paniculata,180,0.018,5.3,5,no,0.002206189,344,,,,,,,,,,,,,,,,,,,,,,,,
Y50,ACGI,Acer Ginnala,180,0.018,12.9,13,no,0.013069841,345,,,,,,,,,,,,,,,,,,,,,,,,
Y50,CEOC,Celtis Occidentalis,180,0.018,9.2,9,no,0.006647626,346,,,,,,,,,,,,,,,,,,,,,,,,
Y50,CEOC,Celtis Occidentalis,180,0.018,6.6,7,no,0.003421202,347,,,,,,,,,,,,,,,,,,,,,,,,
Y51,THOC,Thuja Occidentalis,140,0.014,18,18,no,0.02544696,348,,,,,,,,,,,,,,,,,,,,,,,,
Y51,TACA,Taxus Canadensis,140,0.014,8.7,9,no,0.005944693,349,,,,,,,,,,,,,,,,,,,,,,,,
Y51,TACA,Taxus Canadensis,140,0.014,7.3,7,no,0.004185397,350,,,,,,,,,,,,,,,,,,,,,,,,
Y51,TACA,Taxus Canadensis,140,0.014,10.1,10,no,0.008011865,351,,,,,,,,,,,,,,,,,,,,,,,,
Y51,TACA,Taxus Canadensis,140,0.014,8.3,8,no,0.005410621,352,,,,,,,,,,,,,,,,,,,,,,,,
Y51,TACA,Taxus Canadensis,140,0.014,5.1,5,no,0.002042825,353,,,,,,,,,,,,,,,,,,,,,,,,
Y51,ACPA,Acer Palmatum,140,0.014,15.4,15,no,0.018626546,354,,,,,,,,,,,,,,,,,,,,,,,,
Y52,PIAB,Picea Abies,310,0.031,49.3,49,no,0.190890685,355,,,,,,,,,,,,,,,,,,,,,,,,
Y52,PNST,Pinus Strobus,310,0.031,30.9,31,no,0.074990777,356,,,,,,,,,,,,,,,,,,,,,,,,
Y53,ACPL,Acer Platanoides,320,0.032,9.9,10,no,0.007697705,357,,,,,,,,,,,,,,,,,,,,,,,,
Y53,SYVU,Syringa Vulgaris,320,0.032,4.9,5,no,0.001885745,358,,,,,,,,,,,,,,,,,,,,,,,,
Y54,FAGR,Fagus Grandifolia ,470,0.047,83.8,84,no,0.551542438,359,,,,,,,,,,,,,,,,,,,,,,,,
Y54,SYVU,Syringa Vulgaris,470,0.047,22.4,22,no,0.03940823,360,,,,,,,,,,,,,,,,,,,,,,,,
Y54,SYVU,Syringa Vulgaris,470,0.047,19.6,20,no,0.030171926,361,,,,,,,,,,,,,,,,,,,,,,,,
Y54,CTCO,Cotinus Coggygria,470,0.047,23.6,24,no,0.043743638,362,,,,,,,,,,,,,,,,,,,,,,,,
Y54,CTCO,Cotinus Coggygria,470,0.047,18.4,18,no,0.026590502,363,,,,,,,,,,,,,,,,,,,,,,,,
Y54,RHCA,Rhamnus Cathartica,470,0.047,5.2,5,no,0.002123722,364,,,,,,,,,,,,,,,,,,,,,,,,
Y54,PIRU,Picea Rubens,470,0.047,16.8,17,no,0.02216713,365,,,,,,,,,,,,,,,,,,,,,,,,
Y54,PIMA,Picea Mariana,470,0.047,18.8,19,no,0.027759178,366,,,,,,,,,,,,,,,,,,,,,,,,
Y54,PIAB,Picea Abies,470,0.047,20.9,21,no,0.034307057,367,,,,,,,,,,,,,,,,,,,,,,,,
Y54,BEAL,Betula Alleghaniensis,470,0.047,40.3,40,no,0.127556029,368,,,,,,,,,,,,,,,,,,,,,,,,
Y54,BEAL,Betula Alleghaniensis,470,0.047,35.4,35,no,0.098423186,369,,,,,,,,,,,,,,,,,,,,,,,,
Y54,EUAL,Euonymous Alatus,470,0.047,11.3,11,no,0.010028773,370,,,,,,,,,,,,,,,,,,,,,,,,
Y54,EUAL,Euonymous Alatus,470,0.047,32.3,32,no,0.081939997,371,,,,,,,,,,,,,,,,,,,,,,,,
Y54,VILE,VIburnum Lentago,470,0.047,32.6,33,no,0.08346917,372,,,,,,,,,,,,,,,,,,,,,,,,
Y54,SYVU,Syringa Vulgaris,470,0.047,30.4,30,no,0.072583526,373,,,,,,,,,,,,,,,,,,,,,,,,
Y54,SOAU,Sorbus Aucuparia,470,0.047,15.7,16,no,0.019359325,374,,,,,,,,,,,,,,,,,,,,,,,,
Y54,WEFL,Weigela Florida,470,0.047,12.4,12,no,0.01207631,375,,,,,,,,,,,,,,,,,,,,,,,,
Y54,THOC,Thuja Occidentalis,470,0.047,13.7,14,no,0.014741173,376,,,,,,,,,,,,,,,,,,,,,,,,
Y54,SYVU,Syngria Vulgaris,470,0.047,40.1,40,no,0.126293105,377,,,,,,,,,,,,,,,,,,,,,,,,
Y54,MOAL,Morus Alba,470,0.047,5.1,5,no,0.002042825,378,,,,,,,,,,,,,,,,,,,,,,,,
Y54,TACA,Taxus Canadensis,470,0.047,18.4,18,no,0.026590502,379,,,,,,,,,,,,,,,,,,,,,,,,
Y55,FASY,Fagus Sylvatica,200,0.02,22,22,no,0.03801336,380,,,,,,,,,,,,,,,,,,,,,,,,
Y55,PRVISC,Prunus Virginiana 'Schubert',200,0.02,21.6,22,no,0.036643622,381,,,,,,,,,,,,,,,,,,,,,,,,
Y55,PNST,Pinus Strobus,200,0.02,20.4,20,no,0.032685206,382,,,,,,,,,,,,,,,,,,,,,,,,
Y55,LALA,Larix Laricina,200,0.02,7.4,7,no,0.00430085,383,,,,,,,,,,,,,,,,,,,,,,,,
Y55,THOC,Thuja Occidentalis,200,0.02,5.7,6,no,0.002551765,384,,,,,,,,,,,,,,,,,,,,,,,,
Y55,TACA,Taxus Canadensis,200,0.02,8.5,9,no,0.005674515,385,,,,,,,,,,,,,,,,,,,,,,,,
Y55,TSCA,Tsuga Canadensis,200,0.02,20.6,21,no,0.033329234,386,,,,,,,,,,,,,,,,,,,,,,,,
Y56,TIAM,Tilia Americana,70,0.007,45.3,45,no,0.161171149,387,,,,,,,,,,,,,,,,,,,,,,,,
Y56,ACNE,Acer Negundo,70,0.007,22.5,23,no,0.039760875,388,,,,,,,,,,,,,,,,,,,,,,,,
Y56,ACPL,Acer Platanoides,70,0.007,45,45,no,0.1590435,389,,,,,,,,,,,,,,,,,,,,,,,,
Y57,MGXXSO,Magnolia x Soulangeana,170,0.017,7.4,7,no,0.00430085,390,,,,,,,,,,,,,,,,,,,,,,,,
Y57,SYVU,Syngria Vulgaris,170,0.017,39.5,40,no,0.122542035,391,,,,,,,,,,,,,,,,,,,,,,,,
Y57,PRAV,Prunus Pensylvanica,170,0.017,7.9,8,no,0.004901681,392,,,,,,,,,,,,,,,,,,,,,,,,
Y58,ACPL,Acer Platanoides,160,0.016,100.3,100,no,0.790119469,393,,,,,,,,,,,,,,,,,,,,,,,,
Y58,SYVU,Syngria Vulgaris,160,0.016,41.4,41,no,0.134614418,394,,,,,,,,,,,,,,,,,,,,,,,,
Y58,LOXY,Lonicera Xylosteum,160,0.016,14.1,14,no,0.015614537,395,,,,,,,,,,,,,,,,,,,,,,,,
Y58,LOXY,Lonicera Xylosteum,160,0.016,6.6,7,no,0.003421202,396,,,,,,,,,,,,,,,,,,,,,,,,
Y59,ACGI,Acer Ginnala,250,0.025,5.2,5,no,0.002123722,397,,,,,,,,,,,,,,,,,,,,,,,,
Y60,MABA,Malus Baccata,190,0.019,92.3,92,yes,0.669105037,398,,,,,,,,,,,,,,,,,,,,,,,,
Y60,TACA,Taxus Canadensis,190,0.019,15.9,16,yes,0.019855697,399,,,,,,,,,,,,,,,,,,,,,,,,
Y60,SYVU,Syringa Vulgaris,190,0.019,33.4,33,yes,0.087616082,410,,,,,,,,,,,,,,,,,,,,,,,,
Y60,AEHI,Aesculus Hippocastanu,190,0.019,79.2,79,yes,0.492653146,411,,,,,,,,,,,,,,,,,,,,,,,,
Y61,MABA,Malus Baccata,250,0.025,7.9,8,yes,0.004901681,412,,,,,,,,,,,,,,,,,,,,,,,,
Y61,PRCR,Prunus Cerasus,250,0.025,5.3,5,yes,0.002206189,413,,,,,,,,,,,,,,,,,,,,,,,,
Y61,MOAL,Morus Alba,250,0.025,7.7,8,yes,0.004656637,414,,,,,,,,,,,,,,,,,,,,,,,,
Y61,SANI,Sambucus Nigra,250,0.025,5.1,5,yes,0.002042825,415,,,,,,,,,,,,,,,,,,,,,,,,
Y61,WEFL,Weigela Florida,250,0.025,19.3,19,yes,0.029255365,416,,,,,,,,,,,,,,,,,,,,,,,,
Y61,EUAL,Euonymous Alatus,250,0.025,14.6,15,yes,0.016741586,422,,,,,,,,,,,,,,,,,,,,,,,,
Y61,EUAL,Euonymous Alatus,250,0.025,15.6,16,yes,0.019113494,423,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPA,Acer Palmatum,210,0.021,8.4,8,no,0.005541782,424,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPA,Acer Palmatum,210,0.021,6.3,6,no,0.003117253,425,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPL,Acer Platanoides,210,0.021,19.7,20,no,0.030480589,426,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACNE,Acer Negundo,210,0.021,35.6,36,no,0.099538454,427,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPL,Acer Platanoides,210,0.021,105.1,105,no,0.867553625,428,,,,,,,,,,,,,,,,,,,,,,,,
Y62,RHCA,Rhamnus Cathartica,210,0.021,5.3,5,no,0.002206189,429,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPL,Acer Platanoides,210,0.021,15.6,16,no,0.019113494,430,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPL,Acer Platanoides,210,0.021,5.1,5,no,0.002042825,431,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPL,Acer Platanoides,210,0.021,78.8,79,no,0.487689418,432,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ULAM,Ulmus Americana,210,0.021,12.9,13,no,0.013069841,433,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACNE,Acer Negundo,210,0.021,65.9,66,no,0.341084297,434,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACNE,Acer Negundo,210,0.021,33.8,34,no,0.089727238,435,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACNE,Acer Negundo,210,0.021,53.4,53,no,0.223961522,436,,,,,,,,,,,,,,,,,,,,,,,,
Y62,SYVU,Syringa Vulgaris,210,0.021,17.8,18,no,0.024884614,437,,,,,,,,,,,,,,,,,,,,,,,,
Y62,SYVU,Syringa Vulgaris,210,0.021,12.3,12,no,0.011882317,438,,,,,,,,,,,,,,,,,,,,,,,,
Y62,SYVU,Syringa Vulgaris,210,0.021,24.5,25,no,0.047143635,439,,,,,,,,,,,,,,,,,,,,,,,,
Y62,ACPA,Acer Palmatum,210,0.021,8.9,9,no,0.006221153,440,,,,,,,,,,,,,,,,,,,,,,,,
Y63,ACPL,Acer Platanoides,100,0.01,19.7,20,yes,0.030480589,441,,,,,,,,,,,,,,,,,,,,,,,,
Y63,PRSE,Prunus Serotina,100,0.01,45.4,45,yes,0.161883506,442,,,,,,,,,,,,,,,,,,,,,,,,
Y64,PIGL,Picea Glauca,340,0.034,13.7,14,no,0.014741173,447,,,,,,,,,,,,,,,,,,,,,,,,
Y64,TACA,Taxus Canadensis,340,0.034,56.8,57,no,0.25338889,448,,,,,,,,,,,,,,,,,,,,,,,,
Y64,SYVU,Syringa Vulgaris,340,0.034,8.5,9,no,0.005674515,449,,,,,,,,,,,,,,,,,,,,,,,,
Y64,PIGL,Picea Glauca,340,0.034,7.7,8,no,0.004656637,450,,,,,,,,,,,,,,,,,,,,,,,,
Y65,ACPL,Acer Platanoides,160,0.016,27,27,yes,0.05725566,461,,,,,,,,,,,,,,,,,,,,,,,,
Y65,LOXY,Lonicera Xylosteum,160,0.016,67,67,yes,0.35256606,462,,,,,,,,,,,,,,,,,,,,,,,,
Y65,EUAL,Euonymous Alatus,160,0.016,15.2,15,yes,0.018145882,463,,,,,,,,,,,,,,,,,,,,,,,,
Y65,SYVU,Syringa Vulgaris,160,0.016,63.4,63,yes,0.315696242,464,,,,,,,,,,,,,,,,,,,,,,,,
Y65,VILACO,Vitis Labrusca 'Concord',160,0.016,6.1,6,yes,0.002922473,465,,,,,,,,,,,,,,,,,,,,,,,,
Y65,PYCO,Pyrus Communis,160,0.016,19.2,19,yes,0.028952986,466,,,,,,,,,,,,,,,,,,,,,,,,
Y66,SOTO,Sorbus Torminalis,230,0.023,28.2,28,no,0.06245815,467,,,,,,,,,,,,,,,,,,,,,,,,
Y66,PIPU,Picea Pungens,230,0.023,36.9,37,no,0.106940849,468,,,,,,,,,,,,,,,,,,,,,,,,
Y66,CTCO,Cotinus Coggygria,230,0.023,40.2,40,no,0.126923782,469,,,,,,,,,,,,,,,,,,,,,,,,
Y66,PRSE,Prunus Serotina,230,0.023,8.2,8,no,0.00528103,470,,,,,,,,,,,,,,,,,,,,,,,,
Y66,PRVI,Prunus Virginiana,230,0.023,5.7,6,no,0.002551765,471,,,,,,,,,,,,,,,,,,,,,,,,
Y66,ACFR,Acer Freemannii,230,0.023,6.6,7,no,0.003421202,472,,,,,,,,,,,,,,,,,,,,,,,,
Y66,SYRE,Syringa Reticulata,230,0.023,15.8,16,no,0.019606726,473,,,,,,,,,,,,,,,,,,,,,,,,
Y66,SYRE,Syringa Reticulata,230,0.023,59.9,60,no,0.281802305,474,,,,,,,,,,,,,,,,,,,,,,,,
Y66,SYRE,Syringa Reticulata,230,0.023,39.6,40,no,0.123163286,475,,,,,,,,,,,,,,,,,,,,,,,,
Y66,SYRE,Syringa Reticulata,230,0.023,52.3,52,no,0.214829677,476,,,,,,,,,,,,,,,,,,,,,,,,
Y66,SYRE,Syringa Reticulata,230,0.023,16.1,16,no,0.020358353,477,,,,,,,,,,,,,,,,,,,,,,,,
Y67,PODE,Populus Deltoides,140,0.014,133.4,133,yes,1.397663282,478,,,,,,,,,,,,,,,,,,,,,,,,
Y67,CEOC,Celtis Occidentalis,140,0.014,12.2,12,yes,0.011689894,479,,,,,,,,,,,,,,,,,,,,,,,,
Y67,CEOC,Celtis Occidentalis,140,0.014,5.1,5,yes,0.002042825,484,,,,,,,,,,,,,,,,,,,,,,,,
Y67,SYVU,Syringa Vulgaris,140,0.014,17.4,17,yes,0.02377877,485,,,,,,,,,,,,,,,,,,,,,,,,
Y67,LOXY,Lonicera Xylosteum,140,0.014,25.6,26,yes,0.051471974,486,,,,,,,,,,,,,,,,,,,,,,,,
Y68,SYVU,Syringa Vulgaris,150,0.015,18.3,18,no,0.026302261,487,,,,,,,,,,,,,,,,,,,,,,,,
Y68,THOC,Thuja Occidentalis,150,0.015,26.4,26,no,0.054739238,488,,,,,,,,,,,,,,,,,,,,,,,,
Y69,ACNE,Acer Negundo,200,0.02,81.2,81,no,0.517848778,489,,,,,,,,,,,,,,,,,,,,,,,,
Y69,ACNE,Acer Negundo,200,0.02,27.8,28,no,0.060698854,490,,,,,,,,,,,,,,,,,,,,,,,,
Y69,ACNE,Acer Negundo,200,0.02,27.8,28,no,0.060698854,491,,,,,,,,,,,,,,,,,,,,,,,,
Y69,CTCO,Cotinus Coggygria,200,0.02,8.2,8,no,0.00528103,492,,,,,,,,,,,,,,,,,,,,,,,,
Y69,RHCA,Rhamnus Cathartica,200,0.02,18.2,18,no,0.02601559,493,,,,,,,,,,,,,,,,,,,,,,,,
Y69,SYVU,Syringa Vulgaris,200,0.02,56.3,56,no,0.248947453,494,,,,,,,,,,,,,,,,,,,,,,,,
Y69,ULAM,Ulmus Americana,200,0.02,16.6,17,no,0.021642482,495,,,,,,,,,,,,,,,,,,,,,,,,
Y69,ULAM,Ulmus Americana,200,0.02,14.4,14,no,0.016286054,496,,,,,,,,,,,,,,,,,,,,,,,,
Y69,ULAM,Ulmus Americana,200,0.02,26.7,27,no,0.055990381,497,,,,,,,,,,,,,,,,,,,,,,,,
Y69,RHCA,Rhamnus Cathartica,200,0.02,16.8,17,no,0.02216713,498,,,,,,,,,,,,,,,,,,,,,,,,
Y69,LIAM,Linnaea Amabilis,200,0.02,14.9,15,no,0.017436665,499,,,,,,,,,,,,,,,,,,,,,,,,
Y70,COFL,Cornus Florida,150,0.015,4.8,5,no,0.001809562,500,,,,,,,,,,,,,,,,,,,,,,,,
Y70,MABA,Malus Baccata,150,0.015,14,14,no,0.01539384,501,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,27.6,28,yes,0.05982863,502,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,16.2,16,yes,0.020612038,503,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,13.7,14,yes,0.014741173,507,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,40.1,40,yes,0.126293105,508,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,4.8,5,yes,0.001809562,512,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,6,6,yes,0.00282744,514,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,51.1,51,yes,0.205084433,515,,,,,,,,,,,,,,,,,,,,,,,,
Y71,ACPL,Acer Platanoides,370,0.037,44.6,45,yes,0.156228626,516,,,,,,,,,,,,,,,,,,,,,,,,
Y71,PRVI,Prunus Virginiana,370,0.037,8.4,8,yes,0.005541782,518,,,,,,,,,,,,,,,,,,,,,,,,
Y71,FRPR,Fraxinus Profunda,370,0.037,4.8,5,yes,0.001809562,519,,,,,,,,,,,,,,,,,,,,,,,,
Y71,PIGL,Picea Glauca,370,0.037,24,24,yes,0.04523904,523,,,,,,,,,,,,,,,,,,,,,,,,
Y72,CTCO,Cotinus Coggygria,150,0.015,18.5,19,no,0.026880315,525,,,,,,,,,,,,,,,,,,,,,,,,
Y72,EUAL,Euonymous Alatus,150,0.015,21.5,22,no,0.036305115,526,,,,,,,,,,,,,,,,,,,,,,,,
Y72,EUAL,Euonymous Alatus,150,0.015,22.4,22,no,0.03940823,527,,,,,,,,,,,,,,,,,,,,,,,,
Y73,TIAM,Tilia Americana,210,0.021,4.9,5,no,0.001885745,528,,,,,,,,,,,,,,,,,,,,,,,,
Y73,TIAM,Tilia Americana,210,0.021,11,11,no,0.00950334,529,,,,,,,,,,,,,,,,,,,,,,,,
Y73,ACSA,Acer Saccharinum,210,0.021,79,79,no,0.49016814,530,,,,,,,,,,,,,,,,,,,,,,,,
Y73,EUAL,Euonymous Alatus,210,0.021,4.8,5,no,0.001809562,531,,,,,,,,,,,,,,,,,,,,,,,,
Y73,PRCO,Prunus Communis,210,0.021,8.6,9,no,0.005808818,532,,,,,,,,,,,,,,,,,,,,,,,,
Y73,THOC,Thuja Occidentalis,210,0.021,13.8,14,no,0.014957158,533,,,,,,,,,,,,,,,,,,,,,,,,
Y73,THOC,Thuja Occidentalis,210,0.021,10.9,11,no,0.009331337,534,,,,,,,,,,,,,,,,,,,,,,,,
Y73,TACA,Taxus Canadensis,210,0.021,21.6,22,no,0.036643622,535,,,,,,,,,,,,,,,,,,,,,,,,
Y73,TACA,Taxus Canadensis,210,0.021,27.4,27,no,0.05896469,536,,,,,,,,,,,,,,,,,,,,,,,,
Y73,TACA,Taxus Canadensis,210,0.021,56.3,56,no,0.248947453,537,,,,,,,,,,,,,,,,,,,,,,,,
Y73,TACA,Taxus Canadensis,210,0.021,39.9,40,no,0.125036465,538,,,,,,,,,,,,,,,,,,,,,,,,
Y74,QUMA,Quercus Macrocarpa,220,0.022,10.8,11,yes,0.009160906,539,,,,,,,,,,,,,,,,,,,,,,,,
Y74,RHCA,Rhamnus Cathartica,220,0.022,32.7,33,yes,0.083982037,540,,,,,,,,,,,,,,,,,,,,,,,,
Y74,RHCA,Rhamnus Cathartica,220,0.022,5,5,yes,0.0019635,541,,,,,,,,,,,,,,,,,,,,,,,,
Y74,PIAB,Picea Abies,220,0.022,4.6,5,yes,0.001661906,542,,,,,,,,,,,,,,,,,,,,,,,,
Y74,PYCO,Pyrus Communis,220,0.022,30.5,31,yes,0.073061835,543,,,,,,,,,,,,,,,,,,,,,,,,
Y74,PYCO,Pyrus Communis,220,0.022,29.5,30,yes,0.068349435,544,,,,,,,,,,,,,,,,,,,,,,,,
Y74,ACTA,Acer Tataricum,220,0.022,18.6,19,yes,0.027171698,554,,,,,,,,,,,,,,,,,,,,,,,,
Y74,MAXXLO,"Malus ""Louisa""",220,0.022,8.4,8,yes,0.005541782,567,,,,,,,,,,,,,,,,,,,,,,,,
Y75,CTSP,Catalpa Speciosa,350,0.035,32.5,33,no,0.082957875,568,,,,,,,,,,,,,,,,,,,,,,,,
Y75,SYVU,Syngria Vulgaris,350,0.035,31.1,31,no,0.075964673,569,,,,,,,,,,,,,,,,,,,,,,,,
Y75,PHVI,Philadelphus Virginalis,350,0.035,23.4,23,no,0.043005362,570,,,,,,,,,,,,,,,,,,,,,,,,
Y75,SYVU,Syngria Vulgaris,350,0.035,17.3,17,no,0.023506237,571,,,,,,,,,,,,,,,,,,,,,,,,
Y75,TACA,Taxus Canadensis,350,0.035,30.1,30,no,0.071158025,572,,,,,,,,,,,,,,,,,,,,,,,,
Y75,TACA,Taxus Canadensis,350,0.035,14.6,15,no,0.016741586,573,,,,,,,,,,,,,,,,,,,,,,,,
Y76,THOC,Thuja Occidentalis,200,0.02,17.7,18,no,0.024605797,574,,,,,,,,,,,,,,,,,,,,,,,,
Y76,ABBA,Abies Balsamea,200,0.02,7.2,7,no,0.004071514,575,,,,,,,,,,,,,,,,,,,,,,,,
Y76,ABBA,Abies Balsamea,200,0.02,8,8,no,0.00502656,576,,,,,,,,,,,,,,,,,,,,,,,,
Y76,THOC,Thuja Occidentalis,200,0.02,7,7,no,0.00384846,577,,,,,,,,,,,,,,,,,,,,,,,,
Y76,ABBA,Abies Balsamea,200,0.02,4.8,5,no,0.001809562,578,,,,,,,,,,,,,,,,,,,,,,,,
Y76,ABBA,Abies Balsamea,200,0.02,8.7,9,no,0.005944693,579,,,,,,,,,,,,,,,,,,,,,,,,
Y76,SOAU,Sorbus Aucuparia,200,0.02,20.6,21,no,0.033329234,580,,,,,,,,,,,,,,,,,,,,,,,,
Y77,PNNI,Pinus Nigra 'Austrian',130,0.013,43,43,no,0.14522046,581,,,,,,,,,,,,,,,,,,,,,,,,
Y77,HYPA,Hydrangea Paniculata,130,0.013,16.8,17,no,0.02216713,582,,,,,,,,,,,,,,,,,,,,,,,,
Y78,GLTR,Gleditsia Triacanthos,370,0.037,7.1,7,no,0.003959201,583,,,,,,,,,,,,,,,,,,,,,,,,
Y78,PRAV,Prunus Avium,370,0.037,60.4,60,no,0.286526486,584,,,,,,,,,,,,,,,,,,,,,,,,
Y78,AMCA,Amelanchier Canadensis,370,0.037,25.5,26,no,0.051070635,585,,,,,,,,,,,,,,,,,,,,,,,,
Y78,AMCA,Amelanchier Canadensis,370,0.037,30.5,31,no,0.073061835,586,,,,,,,,,,,,,,,,,,,,,,,,
Y78,AMCA,Amelanchier Canadensis,370,0.037,23,23,no,0.04154766,587,,,,,,,,,,,,,,,,,,,,,,,,
Y78,AMCA,Amelanchier Canadensis,370,0.037,27.9,28,no,0.061136321,588,,,,,,,,,,,,,,,,,,,,,,,,
Y79,ACSA,Acer Saccharinum,350,0.035,103.9,104,no,0.847855793,589,,,,,,,,,,,,,,,,,,,,,,,,
Y79,THOC,Thuja Occidentalis,350,0.035,4.6,5,no,0.001661906,590,,,,,,,,,,,,,,,,,,,,,,,,
Y79,THOC,Thuja Occidentalis,350,0.035,4.7,5,no,0.001734949,591,,,,,,,,,,,,,,,,,,,,,,,,
Y80,LOXY,Lonicera Xylosteum,220,0.022,18.8,19,yes,0.027759178,592,,,,,,,,,,,,,,,,,,,,,,,,
Y80,ULXXFR,Ulmus 'Frontier',220,0.022,16.2,16,yes,0.020612038,593,,,,,,,,,,,,,,,,,,,,,,,,
Y80,ULXXFR,Ulmus 'Frontier',220,0.022,41,41,yes,0.13202574,594,,,,,,,,,,,,,,,,,,,,,,,,
Y80,SYVU,Syngria Vulgaris,220,0.022,35.7,36,yes,0.100098445,595,,,,,,,,,,,,,,,,,,,,,,,,
Y81,ACSA,Acer Saccharinum,330,0.033,135.2,135,yes,1.435635802,605,,,,,,,,,,,,,,,,,,,,,,,,
Y81,EUAL,Euonymous Alatus,330,0.033,19.5,20,yes,0.029864835,606,,,,,,,,,,,,,,,,,,,,,,,,
Y81,EUAL,Euonymous Alatus,330,0.033,21.4,21,yes,0.035968178,607,,,,,,,,,,,,,,,,,,,,,,,,
Y81,MGXXSU,Magnolia 'Susan',330,0.033,29.5,30,yes,0.068349435,608,,,,,,,,,,,,,,,,,,,,,,,,
